region,year,state,state_po,candidate,party,candidatevotes,totalvotes,number_members,prop_votes,mean_votes,avg_members,correlation,decade,regional_mean_votes,regional_mean_members
south,1976,Alabama,AL,"Carter, Jimmy",democrat,659170,1182850,19.9,0.55727268884473935,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Alabama,AL,"Ford, Gerald",republican,504070,1182850,19.9,0.42614870862746757,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,Alaska,AK,"Ford, Gerald",republican,71555,123574,34.3,0.5790457539611893,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Alaska,AK,"Carter, Jimmy",democrat,44058,123574,34.3,0.3565313091750692,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Arizona,AZ,"Ford, Gerald",republican,418642,742719,13.7,0.5636613577948053,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Arizona,AZ,"Carter, Jimmy",democrat,295602,742719,13.7,0.39799978188251545,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
south,1976,Arkansas,AR,"Carter, Jimmy",democrat,498604,767535,14.8,0.6496172812966184,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Arkansas,AR,"Ford, Gerald",republican,267903,767535,14.8,0.3490433661005687,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,California,CA,"Ford, Gerald",republican,3882244,7803770,22.7,0.4974831395594693,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,California,CA,"Carter, Jimmy",democrat,3742284,7803770,22.7,0.47954821836112543,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Colorado,CO,"Ford, Gerald",republican,584278,1081440,15.4,0.5402777777777777,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Colorado,CO,"Carter, Jimmy",democrat,460801,1081440,15.4,0.4260994599792869,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
northeast,1976,Connecticut,CT,"Ford, Gerald",republican,719261,1386355,25.2,0.5188144450735923,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Connecticut,CT,"Carter, Jimmy",democrat,647895,1386355,25.2,0.46733700964038793,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
south,1976,Delaware,DE,"Carter, Jimmy",democrat,122461,235642,25.2,0.5196908870235357,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Delaware,DE,"Ford, Gerald",republican,109780,235642,25.2,0.46587620203529084,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
NA,1976,District of Columbia,DC,"Carter, Jimmy",democrat,137818,168830,22.4,0.8163122667772316,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49070366640999824,22.4
NA,1976,District of Columbia,DC,"Ford, Gerald",republican,27873,168830,22.4,0.16509506604276492,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49070366640999824,22.4
south,1976,Florida,FL,"Carter, Jimmy",democrat,1636000,3150631,10.2,0.5192610623078361,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Florida,FL,"Ford, Gerald",republican,1469531,3150631,10.2,0.46642434483758966,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Georgia,GA,"Carter, Jimmy",democrat,979409,1463152,11.5,0.6693829485931742,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Georgia,GA,"Ford, Gerald",republican,483743,1463152,11.5,0.3306170514068258,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,Hawaii,HI,"Carter, Jimmy",democrat,147375,291301,34.9,0.5059199934088795,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Hawaii,HI,"Ford, Gerald",republican,140003,291301,34.9,0.48061283689379714,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Idaho,ID,"Ford, Gerald",republican,204151,340932,19.1,0.5988026937923104,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Idaho,ID,"Carter, Jimmy",democrat,126549,340932,19.1,0.37118545633733413,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
midwest,1976,Illinois,IL,"Ford, Gerald",republican,2364269,4721282,30.2,0.5007684353529401,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Illinois,IL,"Carter, Jimmy",democrat,2271295,4721282,30.2,0.48107590268914247,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Indiana,IN,"Ford, Gerald",republican,1183958,2220362,33.8,0.5332274647107094,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Indiana,IN,"Carter, Jimmy",democrat,1014714,2220362,33.8,0.45700385792947273,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Iowa,IA,"Ford, Gerald",republican,632864,1279303,25.5,0.49469437654722925,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Iowa,IA,"Carter, Jimmy",democrat,619931,1279303,25.5,0.48458496540694423,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Kansas,KS,"Ford, Gerald",republican,502752,957845,15.8,0.5248782423043394,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Kansas,KS,"Carter, Jimmy",democrat,430421,957845,15.8,0.44936393675385894,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
south,1976,Kentucky,KY,"Carter, Jimmy",democrat,615717,1167142,21.2,0.5275424926872652,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Kentucky,KY,"Ford, Gerald",republican,531852,1167142,21.2,0.45568748275702525,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Louisiana,LA,"Carter, Jimmy",democrat,661365,1277383,17.3,0.5177499622274604,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Louisiana,LA,"Ford, Gerald",republican,587446,1277383,17.3,0.45988243150253294,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
northeast,1976,Maine,ME,"Ford, Gerald",republican,236320,482968,21.4,0.489307780225605,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Maine,ME,"Carter, Jimmy",democrat,232279,482968,21.4,0.480940766261947,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
south,1976,Maryland,MD,"Carter, Jimmy",democrat,759612,1432273,23.9,0.5303541992343639,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Maryland,MD,"Ford, Gerald",republican,672661,1432273,23.9,0.46964580076563617,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
